timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1597196995531,0,/1.gif-54,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Malformed escape pair at index 56: http://stat.chinaso.com/1.gif?z=1&a=17304382ca8&b=domo8-%u56FD%u641C%u63A8%u5E7F&B=UTF-8&c=http%3A//promotion.chinaso.com/chinasosearch/chinaso-weather1.html%3F_wdxid%3D000000000000000000000000000000000000000000%26_wdc%3DC_3310898%26_wdt%3D012%26&d=http%3A//www.weather.com.cn/&e=0&f=0&H=promotion.chinaso.com&E=1&r=3e3668843cb28554&s=0&t=0&u=1&i=zh-CN&j=0&k=1366x768&l=24&m=32.0%20r0*&n=&o=8,线程组 1-1,text,false,,1655,0,1,1,http://stat.chinaso.com/1.gif?z=1&a=17304382ca8&b=domo8-%u56FD%u641C%u63A8%u5E7F&B=UTF-8&c=http%3A//promotion.chinaso.com/chinasosearch/chinaso-weather1.html%3F_wdxid%3D000000000000000000000000000000000000000000%26_wdc%3DC_3310898%26_wdt%3D012%26&d=http%3A//www.weather.com.cn/&e=0&f=0&H=promotion.chinaso.com&E=1&r=3e3668843cb28554&s=0&t=0&u=1&i=zh-CN&j=0&k=1366x768&l=24&m=32.0%20r0*&n=&o=8,0,0,0
1597196995533,33,/j/weather2015/publicHead.js-55,200,OK,线程组 1-1,text,true,,5742,348,1,1,http://i.tq121.com.cn/j/weather2015/publicHead.js?2019,33,0,9
1597196995566,81,/j/m_event.js-56,200,OK,线程组 1-1,text,true,,842,344,1,1,http://i.tq121.com.cn/j/m_event.js?20200624_142028,81,0,0
1597196995648,130,/j/jquery-1.8.2.js-57,200,OK,线程组 1-1,text,true,,33720,349,1,1,http://i.tq121.com.cn/j/jquery-1.8.2.js?20200624_142028,102,0,0
1597196995780,78,/js/v1/wa.js-58,200,OK,线程组 1-1,text,true,,10035,345,1,1,http://analyse.weather.com.cn/js/v1/wa.js?site_id=1,77,0,27
1597196995858,13,/i/news/right-d13.png-60,200,OK,线程组 1-1,bin,true,,936,347,1,1,http://i.tq121.com.cn/i/news/right-d13.png,13,0,0
1597196995872,60,/ip/-61,200,OK,线程组 1-1,text,true,,409,340,1,1,http://wgeo.weather.com.cn/ip/?_=1593503657651,58,0,12
1597196995932,49,/ip/-62,200,OK,线程组 1-1,text,true,,409,340,1,1,http://wgeo.weather.com.cn/ip/?_=1593503657658,49,0,0
1597196995982,49,/ip/-63,200,OK,线程组 1-1,text,true,,409,340,1,1,http://wgeo.weather.com.cn/ip/?_=1593503657666,49,0,0
1597196996031,8,/i/weather2015/user/icon-hui.png-67,200,OK,线程组 1-1,bin,true,,1545,358,1,1,http://i.tq121.com.cn/i/weather2015/user/icon-hui.png,8,0,0
